,product_name,categories,destatis_category
279662,Tassen Küchlein Schoko,,"Kuchen, Torte oder Tortenboden, frisch"
279664,Milchreis weniger Süß,Milchreis,Reiszubereitung
279665,Grießbrei weniger Süß,Grießbrei,"Grieß, Roggenmehl oder Ähnliches"
279666,Vitalis Knusper Multikorn Schoko,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279672,triple Chocolate,Dessert,Fertigdessert
279673,PAULA Flecken-Kuchen,,"Kuchen oder Torte, tiefgefroren"
279676,Waldbeeren-Creme,Desserts,Fertigdessert
279677,Cookies & Crumbs,Desserts,Kekse
279679,Crempudding,,Fertigdessert
279681,Carrot Cake Backmischung für Rührkuchen,,Backmischung für Kuchen
279683,Original Backin,Backpulver,"Backpulver, Vanillezucker oder Ähnliches"
279684,Hefe,Yeast,"Backpulver, Vanillezucker oder Ähnliches"
279685,Hefeteig Garant,Backhefe,Hefegebäck
279690,Bitter-Mandel Aroma,Aroma,Gewürze
279697,Original Backin,Backpulver,"Backpulver, Vanillezucker oder Ähnliches"
279700,Original Pudding Vanille Geschmack,"Sugary snacks,Desserts,Biscuits and cakes,Cakes,Puddings",Fertigdessert
279702,Original Pudding Sahne Geschmack,Puddings,Fertigdessert
279705,Paradiescreme weiße Schokolade,,Fertigdessert
279706,Paradies Creme Vanille Geschmack,,Fertigdessert
279707,Paradiescreme Schoko,,Fertigdessert
279710,Tiramisu Creme,"Dairies,Desserts,Dairy desserts,Tiramisu",Fertigdessert
279711,Mousse au Chocolat,fr:Mousses au chocolat,Fertigdessert
279715,Creme legere,,Frischkäse
279718,Rote Grütze,,Fertigdessert
279721,Vitalis Schoko Müsli klassisch,Müsli,"Cornflakes, Müsli oder Ähnliches"
279722,Knusper Müsli klassisch,Müslis,"Cornflakes, Müsli oder Ähnliches"
279723,Vitalis Knusper Schoko,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279724,Dr. Oetker Vitalis,,"Cornflakes, Müsli oder Ähnliches"
279725,Vitalis Knusper Schoko-Banane,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279726,Vitalis Weniger süß Knusper Pur,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279727,Vitalis Schoko Müsli feinherb,Müsli,"Cornflakes, Müsli oder Ähnliches"
279729,Extra Gelierzucker 2:1,"Sweeteners,Zucker,Sucres gélifiant,Gelierzucker",Zucker
279730,Super Gelierzucker 3:1,fr:Sucres gélifiant,"Marmelade, Konfitüre oder Gelee"
279732,Natron,,"Backpulver, Vanillezucker oder Ähnliches"
279743,Gold Fischli Sesam,,Kekse
279749,Pom-Bär Original,,Kartoffelchips oder Kartoffelsticks
279753,70% Cacao Edelbitter intensiv,"Sugary snacks,Schokoladen",Schokoladentafel
279754,Edel-Nougat,"Sugary snacks,Schokoladen",Brotaufstrich auf Nougatbasis
279755,Edelbitter mild,Schokoladen,Schokoladentafel
279756,Edelbitter Mousse Sauerkirsch-Chili,"Süßwaren,Schokoladen,Bitterschokoladen",Kekse
279757,Edelbitter Mousse - Blaubeer-Lavendel,"Sugary snacks,Schokoladen,Bitterschokoladen",Fertigdessert
279761,Lindor extra dunkel,"Süßwaren,Schokoladen,Bitterschokoladen",Schokoladentafel
279763,Lindor Extra Dunkel,"Süßwaren,Schokoladen,Bitterschokoladen",Schokoladentafel
279765,Granatapfel Feinherb,"Süßwaren,Schokoladen",Bonbons
279768,Mini Pralines,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks sucrés,Confiseries,Fruits à coques et dérivés,Confiseries de fruits à coques,Pralines",Pralinen
279770,Hauchdünne Täfelchen,Schokoladen,Schokoladentafel
279773,Hello Srawberry Cheesecake,"Süßwaren,Schokoladen","Kuchen, Torte oder Tortenboden, frisch"
279774,Caramel Brownie,"Süßwaren,Schokoladen,Milchschokoladen",Kekse
279775,Cookies & Cream,Schokoladen,Kekse
279778,Hello my name is Strawberry Cheesecake,"Süßwaren,Schokoladen,Milchschokoladen","Kuchen, Torte oder Tortenboden, frisch"
279781,Hello Dark Chocolate Cookie,"Süßwaren,Schokoladen,Bitterschokoladen",Kekse
279782,Hello My Name Is Salted Caramel,"Süßwaren,Schokoladen",Schokoladentafel
279784,Hello my name is Sweet Popcorn,"Süßwaren,Schokoladen,Milchschokoladen",Süßstoff
279785,Hello my name is Caramel Brownie,"Süßwaren,Schokoladen",Kekse
279786,Hello my name is Strawberry Cheesecake,"Süßwaren,Schokoladen,Milchschokoladen","Kuchen, Torte oder Tortenboden, frisch"
279787,Hello my name is Cookies & Cream,"Süßwaren,Schokoladen,Milchschokoladen",Kekse
279788,Hello Sundae Choco,"Süßwaren,Schokoladen",Schokoladentafel
279789,Milchschokolade,Schokoladen,Schokoladentafel
279790,Lindt Pralinés Classic,,Pralinen
279791,Pralinés Nougat,Pralinen,Pralinen
279792,Pralinés Hell & Zart,Pralinen,Pralinen
279793,Spezialitäten,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Sugary snacks,Confectioneries,Nuts and their products,Nut confectioneries,Pralinen",Pralinen
279794,Pralines des Dames,Pralinen,Pralinen
279795,Creola,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Sugary snacks,Confectioneries,Nuts and their products,Nut confectioneries,Pralinen",Pralinen
279796,Mini Pralinés,Pralinen,Pralinen
279797,Mini Pralinés,Pralinen,Pralinen
279798,Lindt Mini Pralinés,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Süßwaren,Confectioneries,Nuts and their products,Nut confectioneries,Pralinen",Pralinen
279800,Pralinés hochfein,Pralinen,Pralinen
279804,Lindt Vollmilch extra fein,,Schokoladentafel
279814,Hello I Am Your Easter Egg Mix,Schokoladen,Schokoladentafel
279830,Lapin or,"Süßwaren,Schokoladen,Chocolate molds,Osterschokoladen,Milchschokoladen,Schokoladenhasen",Pralinen
279833,Nougat-Eier,"Sugary snacks,Schokoladen",Brotaufstrich auf Nougatbasis
279835,Lindor Mini-Eier Milch,Milchschokoladen,Pralinen
279843,Weihnachts-Mandel,"Sugary snacks,Schokoladen","Süße Mandeln, Kokosraspeln oder Ähnliches"
279849,1001 Weihnachtstraum,Pralinen,Pralinen
279852,Alpenvollmilch-Schokolade,Christmas Sweets,Schokoladentafel
279855,,"Sugary snacks,Chocolates",Riegel oder andere Erzeugnisse aus Schokolade
279856,Süße Grüße,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Sugary snacks,Confectioneries,Nuts and their products,Nut confectioneries,Pralinen",Pralinen
279857,Blütenzarte Köllnflocken,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Haferflocken",Haferflocken
279858,Echte Kölln Kernige,Haferflocken,Haferflocken
279859,Instant,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products","Getreideprodukt, vegetarisch oder vegan"
279860,Kernige Multikorn Flocken,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Cereals and their products",Haferflocken
279861,Vollkorn Multikorn Fleks Klassik,en:Breakfast cereals,"Cornflakes, Müsli oder Ähnliches"
279862,Vollkorn Haferkleks Knusper-Honig,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Haferflocken",Haferflocken
279863,Vollkorn Haferfleks Knusper-Schoko,Puffed oat,"Cornflakes, Müsli oder Ähnliches"
279864,Vollkorn Haferfleks Knusper-Schoko,Puffed oat,"Cornflakes, Müsli oder Ähnliches"
279865,Kölln Früchte Müsli ohne Zuckerzusatz,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279866,Müsli Früchte,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279867,Milchzucker,"Zucker,Milchzucker",Zucker
279868,haferkleie flocken,,Haferflocken
279869,Schmelzflocken,"Haferflocken,Babynahrung,nach dem 4. Monat",Haferflocken
279870,Schmelzflocken Dinkel-Hafer,"Haferflocken,Babynahrung",Haferflocken
279872,Knusper Schoko & Keks,Müsli,"Cornflakes, Müsli oder Ähnliches"
279873,Knusper Schoko & Keks Kakao,Müsli,"Cornflakes, Müsli oder Ähnliches"
279874,Knusper Schoko Feinherb,Müsli,"Cornflakes, Müsli oder Ähnliches"
279875,Müsli Knusper Klassik,Müslis,"Cornflakes, Müsli oder Ähnliches"
279876,Schoko 30% weniger Zucker,Müsli,"Cornflakes, Müsli oder Ähnliches"
279877,Schoko 30% weniger Zucker,Müslis,"Cornflakes, Müsli oder Ähnliches"
279878,Smelk Haferdrink Classic + Calcium,"Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Milchprodukte,Pflanzliche Getränke,Pflanzenmilch,Getreidemilch,Milch,Ungezuckerte Getränke,Hafermilch","Sojamilch, Reismilch o.Ä., ohne Kokosmilch"
279879,Smelk Haferdrink Schoko + Calcium,"Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Pflanzliche Getränke,Pflanzenmilch,Getreidemilch,Ungezuckerte Getränke,Hafermilch","Sojamilch, Reismilch o.Ä., ohne Kokosmilch"
279880,Smelk Haferdrink Vanille + Calcium,"Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Pflanzliche Getränke,Pflanzenmilch,Getreidemilch,Ungezuckerte Getränke,Hafermilch","Sojamilch, Reismilch o.Ä., ohne Kokosmilch"
279881,Mühlenklassiker mit feinen roten Beeren,Mueslis,"Cornflakes, Müsli oder Ähnliches"
279882,"Muesli Classique aux fruits exotiques - Papayes, figues, ananas & mangues","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Mélanges de flocons de céréales,Mueslis,Mueslis aux fruits","Cornflakes, Müsli oder Ähnliches"
279883,Vollkorn Haferfleks,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals",Haferflocken
279884,Müsli Nuss & Krokant,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279885,Haferkleie Fleks,"Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Flakes,Cereal flakes",Haferflocken
279887,Knusper Schoko Krokant,Müsli,"Cornflakes, Müsli oder Ähnliches"
279888,Knusper Apfel-Mohn,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279890,Dinkelkorn Flocken zart,Cornflakes,"Cornflakes, Müsli oder Ähnliches"
279892,Schoko Kirsch,Müsli,"Cornflakes, Müsli oder Ähnliches"
279893,Knusper Schoko Krokant,Müsli,"Cornflakes, Müsli oder Ähnliches"
279894,Schoko,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Frühstücke,Getreide und Kartoffeln,Getreide und Getreideprodukte,Frühstückscerealien,Flakes,Frühstücksflocken,Mixed cereal flakes,Müslis","Cornflakes, Müsli oder Ähnliches"
279896,Cakes,Kekse,Kekse
279897,Vollkorn Haferkissen,Frühstückscerealien,"Cornflakes, Müsli oder Ähnliches"
279898,Kaba,Kakaopulver,Kakaopulver oder Ähnliches
279907,Vanille-Waffel,"Sugary snacks,Schokoladen","Muffins, Waffeln oder andere Dauerbackwaren"
279908,Cookies & Nut,Milchschokoladen,Kekse
279909,Schogetten Trilogia Coffee,Schokoladen,Schokoladentafel
279910,Knusperini,Schokolade,Schokoladentafel
279911,Raspberry Cheesecake,Milchschokoladen,"Kuchen, Torte oder Tortenboden, frisch"
279912,Blueberry Muffin,Milchschokoladen,"Muffins, Waffeln oder andere Dauerbackwaren"
279913,Apple Crumble Pie,Milchschokoladen,"Kuchen, Torte oder Tortenboden, frisch"
279914,Caramel Brownie,"Süßwaren,Schokoladen",Kekse
279915,Black & White,"Sugary snacks,Schokoladen",Schokoladentafel
279916,à la Bienenstich,"Sugary snacks,Schokoladen",Kekse
279917,Mandelkrokant,"Sugary snacks,Schokoladen","Süße Mandeln, Kokosraspeln oder Ähnliches"
279918,Marzipan-Crème,"Sugary snacks,Schokoladen",Pralinen
279919,Joghurt-Erdbeer,"Sugary snacks,Schokoladen",Joghurt
279920,Alpenvollmilch,"Sugary snacks,Schokoladen",Vollmilch
279921,Alpenvollmilch-Haselnuss,en:Milk chocolates,Schokoladentafel
279922,Zartbitter,"Sugary snacks,Schokoladen",Schokoladentafel
279923,Cappuccino,"Sugary snacks,Schokoladen",Kaffeepads oder Kaffeekapseln
279924,Nugat,"Sugary snacks,Schokoladen",Brotaufstrich auf Nougatbasis
279925,für Kinder mit Milch & Calcium,"Sugary snacks,Schokoladen",Schokoladentafel
279926,Tiramisu,Schokolade,Fertigdessert
279927,Edle Tropfen in Nuss GinGin,Pralinen,Pralinen
279936,Irische Butter,"Brotaufstriche,Milchprodukte,Fette,Streichfette,Tierische Fette,Milchfette,Butter,Mildgesäuerte Butter",Butter
279938,Weizenmehl Type 550,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Mehle,Cereal flours,Weizenmehle,Weizenmehle Type 550",Weizenmehl
279939,Knäckebrot Backmischung,Backmischung,Knäckebrot oder Zwieback
279940,Weizenmehl Type 405,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Mehle,Cereal flours,Weizenmehle,Weizenmehle Type 405",Weizenmehl
279941,Spezialmehl für Pizza,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Mehle,Cereal flours,Weizenmehle,Weizenmehle Tipo 00",Reiszubereitung
279942,Hähnchen Dinos,"Fleisch,Poultries,Chickens,Breaded products Breaded Product,Cooked chicken,fr:Poulets panés,Chicken nuggets",Fertiggericht aus Fleisch oder Fisch
279947,Land Kaffee ohne Koffein,malzkaffee,Koffeinfreie Limonade
279949,Zaziki,"Groceries,Sauces,Tsatsikis","Grillsoße, Sojasoße, Salatdressing oder Ähnliches"
279950,Zaziki,"Groceries,Sauces,Tsatsikis","Grillsoße, Sojasoße, Salatdressing oder Ähnliches"
279951,joghurti nach klassisch griechischer Art natur,en:Greek yogurts,Joghurt
279952,Jogurti Natur,Joghurt,Joghurt
279954,Radler Zitrone,fr:Bières avec des fruits,Colagetränk
279957,Warsteiner alkoholfrei,Alkoholfreies Bier,Colagetränk
279958,Radler Zitrone Alkoholfrei,Bier,Colagetränk
279960,Radler Zitrone Alkoholfrei,"Getränke,Alkoholische Getränke,Biere,Ungezuckerte Getränke",Mineralwasser mit Kohlensäure
279961,Feldsalat-Mix,Fresh vegetable mixes,"Gemüseprodukt, vegetarisch oder vegan"
279962,Mischsalat Rohkost,Fresh vegetable mixes,Verzehrfertige Salate
279967,original griechischer Ziegenkäse,"Milchprodukte,Käse,Goat cheese",Weichkäse
279968,Feta,"Milchprodukte,Käse,Greek cheeses,Schafskäse,Feta",Weichkäse
279969,Manouri,"Schafskäse,Ziegenkäse",Weichkäse
280011,Frische Ravioli 4 Formaggi,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Pastas,Stuffed Pastas,Ravioli,Käseravioli,Frische Ravioli",Nudeln
280012,frische Ravioli mit Rucola und Ricotta,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Pastas,Stuffed Pastas,Ravioli",Nudeln
280014,Maultaschen,,Fertiggericht aus Fleisch oder Fisch
280026,Parmigiano Reggiano D.O.P.,"Milchprodukte,Käse,Italienischer Käse,Parmesan",Hartkäse
280032,Bärlauch Pesto,,"Antipasti auf Gemüsebasis, ohne Oliven"
280033,Delikatess Prosciutto Cotto,Schinken,Gekochter Schinken oder anderes gegartes Fleisch
280035,Leinsamen ganz,Leinsaat,"Getreideprodukt, vegetarisch oder vegan"
280036,Leinsamen geschrotet,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Seeds,Getreidekörner,Leinsamen,Geschrotete Leinsamen","Getreideprodukt, vegetarisch oder vegan"
280037,Haferkleie,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Getreide und Kartoffeln,Getreide und Getreideprodukte,Cereal brans,Oat brans",Haferflocken
280038,Porridge Hafermahlzeit Schoko,de:Porridge,Haferflocken
280039,Flüssig gefüllte Ostereier,"Pflanzliche Lebensmittel und Getränke,Pflanzliche Lebensmittel,Sugary snacks,Confectioneries,Nuts and their products,Schokoladen,Osterschokoladen,Nut confectioneries,Pralinen,Schokoladeneier",Pralinen
280040,Amaretto Pralinés,Pralinen,Pralinen
280041,Edle Kirschen,Pralinen,Pralinen
280042,Asbach Pralinenmischung,Pralinen,Pralinen
280043,Flüssig gefüllte Pralinés Schwarzwälder Kirschwasser,Pralinen,Pralinen
280044,Flüssig gefüllte Pralinés Williams-Birne,Pralinen,Pralinen
280045,Flüssig gefüllte Pralinés Wald Himbeergeist,Pralinen,Pralinen
280046,Flüssig gefüllte Pralinés Edle Mischung,Pralinen,Pralinen
280047,Cappuccino,"Getränke,Kaffeegetränke,Ungezuckerte Getränke",Kaffeepads oder Kaffeekapseln
280056,Pizzaburger Salami,Tiefkühlpizza,"Pizza, Quiches oder Ähnliches"
280058,Kartoffelnudeln Schupfnudeln,Schupfnudeln,Nudeln
280059,Kartoffel-Gnocchi,Gnocchi,Nudeln
280061,Feigen-Senf-Sauce mit Mumme,Senfe,"Grillsoße, Sojasoße, Salatdressing oder Ähnliches"
280062,Segelschiff Mumme Likör,Liqueurs,Fertigdessert
280063,Alstertaler medium,"Getränke,Kohlensäurehaltige Getränke,Wasser,Mineralwasser,Selterswasser,Natürliches Mineralwasser,Natürliches Mineralwasser mit Kohlensäure versetzt,Ungezuckerte Getränke",Mineralwasser mit Kohlensäure
280064,Alstertaler classic,"Getränke,Kohlensäurehaltige Getränke,Wasser,Mineralwasser,Selterswasser,Natürliches Mineralwasser,Natürliches Mineralwasser mit Kohlensäure versetzt,Ungezuckerte Getränke",Mineralwasser mit Kohlensäure
280065,Magnus Medium,"Getränke,Kohlensäurehaltige Getränke,Wasser,Mineralwasser,Selterswasser,Natürliches Mineralwasser,Natürliches Mineralwasser mit Kohlensäure versetzt,Ungezuckerte Getränke,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280066,Magnus still,Natürliches Mineralwasser ohne Kohlensäure,Mineralwasser ohne Kohlensäure
280067,Magnus classic,Mineralwasser mit Kohlensäure,Mineralwasser mit Kohlensäure
280070,Chio Hot Peperoni Chips,"Salty snacks,Appetizers,Chips and fries,Crisps,Kartoffelchips",Kartoffelchips oder Kartoffelsticks
280074,Tortillas Nacho Cheese,"Salty snacks,Appetizers,Chips and fries,Crisps,Corn chips",Salzgebäck
280076,Dip! Hot Cheese,"Groceries,Saucen,Dips","Grillsoße, Sojasoße, Salatdressing oder Ähnliches"
280084,Waldbeere,"Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Lebensmittel,Hot beverages,Kräutertees,Tees,Non-sugared beverages,Flavored teas",Früchtetee oder Kräutertee
280085,Pfefferminze,Tee,Früchtetee oder Kräutertee
280086,Kamille mild-aromatisch,Tees,Früchtetee oder Kräutertee
280087,Früchte-Mischung,"Pflanzliche Lebensmittel und Getränke,Getränke,Hot beverages,Pflanzliche Getränke,Kräutertees,Tees,Ungezuckerte Getränke",Früchtetee oder Kräutertee
280088,6-Kräuter-Mischung,Tees,Früchtetee oder Kräutertee
280089,Feinster Grüner Tee,"Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Lebensmittel,Hot beverages,Kräutertees,Tees,Non-sugared beverages,Grüner Tee",Schwarzer Tee oder grüner Tee
280090,Feinster Earl Gray frisch-pikant,"Tees,Schwarztees",Schwarzer Tee oder grüner Tee
280091,Rooibos-Vanille,Roobios teas,Früchtetee oder Kräutertee
280092,Göppinger Medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280093,Naturpark Quelle medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280095,Zitronen Limonade,Erfrischungsgetränke,Koffeinfreie Limonade
280096,Apfel-Schorle,Apfelsaft,Apfelsaft oder ähnlicher Fruchtsaft
280097,Suppenhuhn,en:Chickens,Frisches Geflügelfleisch
280098,Aquarissima Naturquelle Medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280100,alwa medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280101,Markgrafen Medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280102,alwa classic,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit Kohlensäure versetzt",
280103,alwa medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280104,Aqua Vitale Classic,,Mineralwasser mit Kohlensäure
280105,Aqua Vitale medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280109,Chardonnay 2015,Weißwein,Weintrauben
280112,Feine Waffelblätter in Zartbitterschokolade,"Sugary snacks,Schokoladen",Kekse
280113,Bio-Kuss,Schaumküsse,
280114,Vegetaria,,"Getreideprodukt, vegetarisch oder vegan"
280115,Alpen Salz,"Groceries,Condiments,Salze",Speisesalz
280117,Marken JodSalz,Salze,Speisesalz
280119,Alpen JodSalz (+Fluorid),Salze,Speisesalz
280120,Jodsalz + Fluorid,Salze,Speisesalz
280121,Marken JodSalz + Fluorid + Folsäure,"Groceries,Condiments,Salze,Table salts",Speisesalz
280123,Meersalz mit Jod,"Groceries,Condiments,Salze,Meersalze",Speisesalz
280126,Meersalz Naturkristalle grobkörnig,Meersalze,Speisesalz
280127,Grobes Mühlensalz,Salze,Speisesalz
280128,Heißer Met,Hard liquors,Kein passendes Kategorie.
280129,Birnenwein,Weine,Zitrusfrüchte
280130,hohes C Orange,Orangensaft,Orangensaft oder ähnlicher Fruchtsaft
280131,hohes C Multivitamin,Fruchtsaft,Multivitaminsaft
280132,Milde Orange,Orangensäfte,Orangensaft oder ähnlicher Fruchtsaft
280133,Milde Orange ,Orangensaft,Orangensaft oder ähnlicher Fruchtsaft
280134,hohes C Multi-Vitamin,"Pflanzliche Lebensmittel und Getränke,Getränke,Pflanzliche Getränke,Säfte und Nektare,Ungezuckerte Getränke,Concentrated multifruit juices",Multivitaminsaft
280135,hohes C Orange,Orangensaft,Orangensaft oder ähnlicher Fruchtsaft
280137,Gerolsteiner Medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280139,Gerolsteiner Apfelschorle,Apple soft drinks,Apfelsaft oder ähnlicher Fruchtsaft
280140,Gerolsteiner Medium,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280142,Gerolsteiner Sprudel,"Getränke,Wasser,Mineralwasser,Non-sugared beverages,Natürliches Mineralwasser,Natürliches Mineralwasser mit Kohlensäure versetzt",Mineralwasser mit Kohlensäure
280143,Gerolsteiner Medium,"Getränke,Carbonated drinks,Wasser,Mineralwasser,Selterswasser,Natürliches Mineralwasser,Natürliches Mineralwasser mit wenig Kohlensäure versetzt,Non-sugared beverages",Mineralwasser mit Kohlensäure
280144,Orangen Limonade,Limonaden,Koffeinfreie Limonade
280147,Cookies Big Nut,Kekse,Kekse
280148,Prinzen Rolle Minis,Kekse,Kekse
280149,Duo Keks Kakao,Kekse,Kekse
280152,Prinzen Rolle,"Sugary snacks,Biscuits and cakes,Kekse",Kekse
280153,Leicht & Cross Vital,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Knusperbrot",Knäckebrot oder Zwieback
280155,Granola,"Süßwaren,Biscuits and cakes,Kekse",Kekse
280157,Leicht & Cross Roggen,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Rye breads,Knusperbrot",Knäckebrot oder Zwieback
280159,TUC Paprika,Crackers,Salzgebäck
280160,Extra Zartbitter,"Süßwaren,Biscuits and cakes,Schokoladen,Kekse",Kekse
280161,Soft cake Orange Vollmilch,"Sugary snacks,Biscuits and cakes,Kekse","Kuchen, Torte oder Tortenboden, frisch"
280162,Leicht & Cross Vollkorn,"Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Knusperbrot",Körnerbrot oder Vollkornbrot
280163,Milch,Knusperbrot,Knäckebrot oder Zwieback
280164,Glücks Kex,"Sugary snacks,Biscuits and cakes,Kekse",Kekse
280170,Prinzen Rolle Vollkorn,,Kekse
280171,Keks Geknusper,Kekse,Kekse
280172,Soft Baked Brown-Style Cookies,"Süßwaren,Biscuits and cakes,Kekse,Chocolate cookies",Kekse
